task,target,unit,matbench_input_type,feature_source,feature_set,feature_set_display,model,model_display,folds_completed,mean_mae,std_mae,sem_mae,mean_r2,std_r2,n_features,train_size_mean,test_size_sum,fit_seconds_sum,predict_seconds_sum,rank_by_mae
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,random_forest,Random forest,5,58.98765129789765,6.565681091707522,2.9362618479286087,0.9285267870403067,0.011786190421671906,138.0,1012.0,1265,2.6396684646606445,0.49071311950683594,29
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing,Magpie + density + packing,random_forest,Random forest,5,59.11461784816464,6.517452098990586,2.914693186688329,0.9277598325233152,0.010721793258179485,136.0,1012.0,1265,2.571662187576294,0.23532676696777344,30
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,hist_gradient_boosting,HistGradientBoosting,5,59.12241771327366,7.686180729408194,3.437364519661127,0.9352186288044215,0.02509515218559699,150.0,1012.0,1265,2.7214136123657227,0.01889634132385254,31
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing,Magpie + density + packing,hist_gradient_boosting,HistGradientBoosting,5,59.20447707825107,9.705104206305558,4.340254546803675,0.9340275890144678,0.024938078912836403,136.0,1012.0,1265,2.5003223419189453,0.017004728317260742,32
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_packing,Magpie + packing,hist_gradient_boosting,HistGradientBoosting,5,59.40254351863227,10.555784869536536,4.720690504829489,0.9330669912444904,0.031285701880616905,133.0,1012.0,1265,2.48403263092041,0.016759157180786133,33
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,random_forest,Random forest,5,59.41909170769064,6.013905377783345,2.689500246995022,0.9279810666793333,0.012401678522892517,150.0,1012.0,1265,2.6213769912719727,0.24589753150939941,34
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,random_forest,Random forest,5,59.497263109473394,5.8825279093950975,2.6307464569894337,0.9269667159927109,0.011998301110863226,148.0,1012.0,1265,2.8073782920837402,0.22686290740966797,35
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,hist_gradient_boosting,HistGradientBoosting,5,60.437576048985036,10.647432005808279,4.761676350158848,0.9320646303923971,0.0302162640084386,138.0,1012.0,1265,2.44647216796875,0.017201900482177734,36
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,hist_gradient_boosting,HistGradientBoosting,5,63.46171769842416,11.913741895125524,5.327987348777567,0.925878018595516,0.030338903667143417,148.0,1012.0,1265,2.080592393875122,0.014670848846435547,37
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_symmetry,Magpie + symmetry,random_forest,Random forest,5,64.13842643657463,9.374293473437886,4.1923114895279445,0.9184854729439704,0.03041978994934568,144.0,1012.0,1265,2.767291784286499,0.25460386276245117,38
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_complexity,Magpie + complexity,random_forest,Random forest,5,64.7533684213058,9.869823372456837,4.413919197345941,0.9163262931315783,0.029202613123771537,134.0,1012.0,1265,2.5270118713378906,0.23635101318359375,39
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,random_forest,Random forest,5,65.43647813488039,9.882028378501598,4.419377441982317,0.9151758264152539,0.029019488023330278,132.0,1012.0,1265,2.4878618717193604,0.2474231719970703,40
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density,Magpie + density,random_forest,Random forest,5,66.67158215944559,9.87234822418946,4.415048345367394,0.9118050403677087,0.028985948787283517,135.0,1012.0,1265,2.5669190883636475,0.24770450592041016,41
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,5,67.59775499882267,10.6509270847244,4.763239396967483,0.914152751885126,0.01978103411515926,132.0,1012.0,1265,2.1450355052948,0.015188932418823242,42
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density,Magpie + density,hist_gradient_boosting,HistGradientBoosting,5,69.1608652881506,15.089925141170257,6.748419678207963,0.9097661467046931,0.024490090727209812,135.0,1012.0,1265,2.0934207439422607,0.015070676803588867,43
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_symmetry,Magpie + symmetry,hist_gradient_boosting,HistGradientBoosting,5,69.31079715550982,13.094844345404232,5.856192422220518,0.9149384838304068,0.021704091306225453,144.0,1012.0,1265,1.9934141635894775,0.014386415481567383,44
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_complexity,Magpie + complexity,hist_gradient_boosting,HistGradientBoosting,5,69.63894075398261,14.401932839492044,6.4407401672981575,0.9092725819373136,0.024801507536912605,134.0,1012.0,1265,1.9600169658660889,0.014125347137451172,45
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_packing,Magpie + packing,ridge_cv,RidgeCV,5,142.6238252365963,8.302025117260513,3.712778502621031,0.7669473765557513,0.04939674121201333,133.0,1012.0,1265,0.25732994079589844,0.0059871673583984375,46
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing,Magpie + density + packing,ridge_cv,RidgeCV,5,142.99078222667575,9.363045366974893,4.187281183394065,0.7655662664661211,0.05528668391089044,136.0,1012.0,1265,0.20013046264648438,0.005921363830566406,47
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,ridge_cv,RidgeCV,5,143.56968688684046,7.499970017010567,3.3540885574491783,0.7703433897799739,0.0485307642358846,138.0,1012.0,1265,0.715449333190918,0.006546497344970703,48
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,ridge_cv,RidgeCV,5,144.4207359465968,7.8241040567858855,3.4990457068010206,0.7720476137776322,0.03742949612064186,148.0,1012.0,1265,0.1373305320739746,0.006723880767822266,49
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,ridge_cv,RidgeCV,5,144.50731384990257,6.383654302285977,2.8548569929540855,0.774198100786339,0.034962167304820276,150.0,1012.0,1265,0.23751401901245117,0.006879329681396484,50
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density,Magpie + density,ridge_cv,RidgeCV,5,153.6915831061741,7.937977401655899,3.549971414791948,0.7342296430988096,0.04847838975878736,135.0,1012.0,1265,0.6108007431030273,0.0060503482818603516,51
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_complexity,Magpie + complexity,ridge_cv,RidgeCV,5,154.69169727599888,6.998360756984402,3.129762076736802,0.7346012486914395,0.043886137831023235,134.0,1012.0,1265,0.2166886329650879,0.0057468414306640625,52
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,ridge_cv,RidgeCV,5,155.29519302919272,8.260933429717062,3.694401741289566,0.7278285353920474,0.04647396526084691,132.0,1012.0,1265,0.09563541412353516,0.005868673324584961,53
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_symmetry,Magpie + symmetry,ridge_cv,RidgeCV,5,155.3782800112102,7.504169226161779,3.3559665008719475,0.7432576426378457,0.03433894747896202,144.0,1012.0,1265,0.11968016624450684,0.006572723388671875,54
matbench_phonons,last phdos peak,cm^-1,structure,composition_from_structure,magpie,Magpie composition,dummy_mean,Dummy mean,5,323.9822262402079,19.819276443780506,8.8634498786307,-0.00282668831811983,0.003729500825751853,132.0,1012.0,1265,0.020035743713378906,0.0034210681915283203,55
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_complexity,Magpie + complexity,dummy_mean,Dummy mean,5,323.9822262402079,19.819276443780506,8.8634498786307,-0.00282668831811983,0.003729500825751853,134.0,1012.0,1265,0.020021438598632812,0.0033812522888183594,55
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density,Magpie + density,dummy_mean,Dummy mean,5,323.9822262402079,19.819276443780506,8.8634498786307,-0.00282668831811983,0.003729500825751853,135.0,1012.0,1265,0.020647287368774414,0.003507852554321289,55
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing,Magpie + density + packing,dummy_mean,Dummy mean,5,323.9822262402079,19.819276443780506,8.8634498786307,-0.00282668831811983,0.003729500825751853,136.0,1012.0,1265,0.02050185203552246,0.0034635066986083984,55
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_complexity,Magpie + density + packing + complexity,dummy_mean,Dummy mean,5,323.9822262402079,19.819276443780506,8.8634498786307,-0.00282668831811983,0.003729500825751853,138.0,1012.0,1265,0.020799636840820312,0.003481626510620117,55
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,dummy_mean,Dummy mean,5,323.9822262402079,19.819276443780506,8.8634498786307,-0.00282668831811983,0.003729500825751853,148.0,1012.0,1265,0.022711753845214844,0.0037889480590820312,55
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_packing,Magpie + packing,dummy_mean,Dummy mean,5,323.9822262402079,19.819276443780506,8.8634498786307,-0.00282668831811983,0.003729500825751853,133.0,1012.0,1265,0.02018880844116211,0.0034532546997070312,55
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_structure_all,Magpie + all structure,dummy_mean,Dummy mean,5,323.9822262402079,19.819276443780506,8.8634498786307,-0.00282668831811983,0.003729500825751853,150.0,1012.0,1265,0.02299785614013672,0.0038352012634277344,55
matbench_phonons,last phdos peak,cm^-1,structure,structure,magpie_symmetry,Magpie + symmetry,dummy_mean,Dummy mean,5,323.9822262402079,19.819276443780506,8.8634498786307,-0.00282668831811983,0.003729500825751853,144.0,1012.0,1265,0.022080421447753906,0.0037415027618408203,55
matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,5,87.00428388329844,11.436895995971035,5.1147353797172785,0.7743104151091895,0.12480380312156066,132.0,249.6,312,0.0,0.0,1
matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,tabpfn,TabPFN,5,87.65086036756352,17.251060945435043,7.714908991596909,0.7442381940404708,0.18052800751673165,132.0,249.6,312,15.107405662536621,1.7933306694030762,2
matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,tabpfn_extra_trees_inner_tuned,TabPFN + ExtraTrees tuned,5,89.97500323795528,15.225509718994008,6.809054944750865,0.7357490934968137,0.17445475257367013,132.0,249.6,312,2.0567924976348877,1.2269039154052734,3
matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,extra_trees,Extra trees,5,90.77583349718381,9.995315713618172,4.47004107844441,0.7732029372273959,0.09787898243327078,132.0,249.6,312,0.8548662662506104,0.20705032348632812,4
matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,random_forest,Random forest,5,104.24786910394273,12.098493064854864,5.410610583665049,0.7371683161611846,0.11382588262655767,132.0,249.6,312,1.4219565391540527,0.20132803916931152,5
matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,hist_gradient_boosting,HistGradientBoosting,5,128.20546440650804,31.705745136626813,14.179240280556185,0.608434859345817,0.16534762011946155,132.0,249.6,312,0.4772055149078369,0.009714126586914062,6
matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,ridge_cv,RidgeCV,5,158.51421285666584,10.513248468127768,4.701667647815845,0.4429431706221318,0.09183879453071786,132.0,249.6,312,0.03673100471496582,0.005023002624511719,7
matbench_steels,yield strength,MPa,composition,composition,magpie,Magpie composition,dummy_mean,Dummy mean,5,229.7445296531132,10.840240309058023,4.847902844697414,-0.009186464735196109,0.0059381667256042416,132.0,249.6,312,0.009969234466552734,0.0030808448791503906,8
